Transaction Amount,Account Balance,Transaction_To_Balance_Ratio,Is_High_Value_Transaction,High_Balance_flag,Account_Transaction_Current - Debit,Account_Transaction_Fixed Deposit - Credit,Account_Transaction_Fixed Deposit - Debit,Account_Transaction_Recurring Deposit - Credit,Account_Transaction_Recurring Deposit - Debit,Account_Transaction_Savings - Credit,Account_Transaction_Savings - Debit
0.5364434876383594,0.3662055175686893,0.0732679975755388,0,0,0,0,0,0,1,0,0
0.7768971420095333,0.2851694690393968,0.1359827686701312,1,0,0,0,0,0,1,0,0
0.4866421318067198,0.7659440873823639,0.0318375327482298,0,1,0,0,0,0,0,0,0
0.550743462381886,0.6229438781180631,0.0442656809633233,0,0,0,0,0,1,0,0,0
0.65667432378799,0.8552133344413996,0.0384376182903602,0,1,1,0,0,0,0,0,0
0.0265654002349252,0.4380731864344667,0.0032722532190994,0,0,0,0,0,0,0,0,1
0.6088554006759114,0.086210583967551,0.3499104689361644,0,0,0,0,0,0,0,0,1
0.6306842098933215,0.4177689421739657,0.075487483628612,0,0,0,0,1,0,0,0,0
0.0375058631099137,0.9926430081192548,0.0019959629515354,0,1,1,0,0,0,0,0,0
0.1949579259223624,0.6786959930392086,0.01448876546587,0,0,0,0,0,0,0,0,0
0.1900088598105363,0.0536008979340907,0.1757752680465096,0,0,0,0,0,0,0,0,1
0.899048271936049,0.9844369438600952,0.0456828276413884,1,1,0,0,0,0,1,0,0
0.6530742740768358,0.9425119926467128,0.0346906558722669,0,1,0,0,0,1,0,0,0
0.1106614389775538,0.0457062269646563,0.1206497469325482,0,0,0,0,1,0,0,0,0
0.7707052970441909,0.5939717863661805,0.0648875497378586,1,0,0,1,0,0,0,0,0
0.9239720013951196,0.0927170015729866,0.4935441385704581,1,0,0,0,0,0,1,0,0
0.8535846151995864,0.3849137460612754,0.1107637765552417,1,0,0,0,1,0,0,0,0
0.8517244558833551,0.750543736739502,0.056754430735236,1,0,0,0,1,0,0,0,0
0.8699411884974804,0.064954437454505,0.6603225311991112,1,0,0,0,0,0,0,0,1
0.5116540584747495,0.8284477294823361,0.0309446907566123,0,1,0,0,0,0,0,0,0
0.419590203695463,0.1043789305893343,0.1998965477932096,0,0,0,0,0,0,0,0,1
0.9693414474765576,0.6948869422080087,0.0697358898531023,1,0,0,1,0,0,0,0,0
0.4051038121239091,0.1858182884983734,0.1088924853632722,0,0,0,0,0,0,0,0,1
0.5066428534202477,0.9608537582967288,0.0264247848170074,0,1,0,0,0,0,0,0,0
0.0244887568603397,0.6120426098161978,0.002174481474011,0,0,1,0,0,0,0,0,0
0.9375243043445144,0.2944821309313663,0.1588495001001256,1,0,1,0,0,0,0,0,0
0.2429211717400106,0.8127503036334891,0.01504610253651,0,1,0,0,1,0,0,0,0
0.7992390986245245,0.0577666592906841,0.6809834686251333,1,0,1,0,0,0,0,0,0
0.8191035154605698,0.8253897672760696,0.0496425828922967,1,1,0,0,0,0,0,0,0
0.4561720005933267,0.6168321590168382,0.0370577663546555,0,0,0,0,1,0,0,0,0
0.7090133538592293,0.171943264342865,0.205395872528872,0,0,0,0,0,0,0,0,0
0.5033655253146035,0.212501589507548,0.1182718013093423,0,0,0,0,0,0,0,0,1
0.3200396085647508,0.8288253063619352,0.0193966704046127,0,1,0,0,0,1,0,0,0
0.322863923733468,0.1625395874990112,0.0992745168138732,0,0,0,1,0,0,0,0,0
0.7355987989143725,0.5955023194294394,0.0617813344129462,0,0,0,0,0,0,0,1,0
0.0205940482919808,0.3515577173970725,0.0032292096783995,0,0,0,0,1,0,0,0,0
0.8322649444157135,0.1644158572276785,0.251955702182027,1,0,0,1,0,0,0,0,0
0.5683007204108387,0.6524893941047543,0.0436064026063446,0,0,0,0,0,0,0,0,1
0.3742929189668098,0.9939041008794108,0.0189022044291064,0,1,0,0,0,0,0,0,1
0.4123700594529368,0.5568302766393955,0.0371215331567548,0,0,0,0,0,1,0,0,0
0.3979297709678842,0.7339395656714429,0.027194623119035,0,0,0,0,0,1,0,0,0
0.1618899860087155,0.2182774844628766,0.0373759649202107,0,0,1,0,0,0,0,0,0
0.686581195553257,0.4807346678855394,0.0714169533430989,0,0,0,0,0,0,0,0,1
0.8313569140598378,0.0069579879387666,5.218886560158634,1,0,0,0,1,0,0,0,0
0.8159284159380374,0.4218823373921262,0.0966334365923208,1,0,0,0,0,1,0,0,0
0.1952706251177633,0.78999716642119,0.0124698503819468,0,1,1,0,0,0,0,0,0
0.5841441463111517,0.3217399575664064,0.090744169814101,0,0,0,1,0,0,0,0,0
0.6967098432094163,0.1848404534927613,0.1878364495471806,0,0,0,0,0,0,0,0,0
0.1743137655798365,0.5061196290915426,0.017385828568766,0,0,0,0,0,0,0,0,1
0.4827033246338814,0.0201047923527415,1.1465810041567333,0,0,0,1,0,0,0,0,0
0.8634967787973911,0.6870043865402002,0.0628504082626991,1,0,0,0,1,0,0,0,0
0.3536367317321531,0.1714694659354765,0.1030465229944773,0,0,0,1,0,0,0,0,0
0.6051611403097327,0.4817783861016463,0.0628386847641421,0,0,1,0,0,0,0,0,0
0.0341764184717027,0.7791561742480754,0.0023289668386826,0,1,0,0,0,0,1,0,0
0.0840579535842142,0.3395658716959519,0.0126506992822996,0,0,0,1,0,0,0,0,0
0.1140730673786586,0.0359348857607157,0.1571623261913277,0,0,0,0,0,1,0,0,0
0.9308634105860704,0.62976659520975,0.0738881610996744,1,0,0,0,0,0,0,0,1
0.924489157756744,0.4382863556672076,0.1053689592541749,1,0,0,0,1,0,0,0,0
0.9612633849287006,0.2383899865530164,0.2010198328954555,1,0,0,0,0,1,0,0,0
0.1747387157684582,0.7576299866731682,0.0116499976243645,0,1,0,0,0,0,0,0,1
0.5296122129080625,0.5769729167939107,0.045960169634955,0,0,0,0,0,0,0,0,0
0.7941918128936302,0.0708400710096852,0.5535848793707634,1,0,0,0,1,0,0,0,0
0.9230258858808296,0.4728411984336216,0.0975310128894531,1,0,0,0,1,0,0,0,0
0.9273615804939844,0.0029148814953285,11.799727742296634,1,0,0,0,0,0,0,1,0
0.3395071379604796,0.4167140097943703,0.040860115827506,0,0,0,0,1,0,0,0,0
0.6090839116263966,0.9005632113359172,0.0338674990257591,0,1,1,0,0,0,0,0,0
0.7555293636571374,0.726860725095796,0.0519995966774586,0,0,0,0,0,0,0,0,1
0.1174125344269787,0.6373325510119281,0.0093596467081224,0,0,0,0,1,0,0,0,0
0.4117627014003311,0.7467143001611034,0.0276541025383169,0,0,0,0,0,1,0,0,0
0.349543579443636,0.1846407012056227,0.0946349063563764,0,0,0,1,0,0,0,0,0
0.9383040478509947,0.4619101925732199,0.1014825270355061,1,0,0,0,0,0,0,1,0
0.3327660649211637,0.2666104289717914,0.0625187902695398,0,0,0,0,0,0,0,1,0
0.1333361396081638,0.7182604629647245,0.0094124048786965,0,0,0,0,0,1,0,0,0
0.1364210374397152,0.074065544783061,0.0922179891160127,0,0,0,1,0,0,0,0,0
0.1893533941894075,0.4942652570196157,0.0193187480933869,0,0,1,0,0,0,0,0,0
0.1117899623558276,0.3176216561517196,0.0178692833131284,0,0,0,0,0,1,0,0,0
0.9093172333337344,0.5733116926678395,0.0792771874098358,1,0,0,0,0,0,0,0,0
0.918886630505811,0.6796404859337344,0.0675952374297772,1,0,0,0,0,0,1,0,0
0.1616073540436416,0.5267343655036311,0.0155040714264031,0,0,0,1,0,0,0,0,0
0.2097810704735789,0.8204107788136417,0.0128905336280699,0,1,0,0,0,0,0,1,0
0.0109925794075552,0.6204799661973072,0.0010602446983737,0,0,0,0,0,0,0,0,0
0.5518038333714186,0.7483005035359659,0.0369309982985786,0,0,1,0,0,0,0,0,0
0.6936309588239303,0.1316383592477299,0.262008060924893,0,0,0,0,0,0,1,0,0
0.972354183955324,0.7207559147202917,0.0674450052679803,1,0,1,0,0,0,0,0,0
0.449539169583188,0.543015828992017,0.0414768668897645,0,0,0,0,0,0,0,0,1
0.5492882084340586,0.3453430682952569,0.0795335589308458,0,0,0,0,0,0,0,0,1
0.2997021339715605,0.8556671075568443,0.0176031050766048,0,1,0,0,0,0,0,0,0
0.8794464422448595,0.6653557443050572,0.0660878184640521,1,0,0,0,0,0,0,0,0
0.4900597736538901,0.5778162819641207,0.0424799872134043,0,0,0,0,1,0,0,0,0
0.0565043437125412,0.0838629188665284,0.0345453129957924,0,0,0,0,0,0,0,0,1
0.869644525158254,0.8270747954666744,0.0525902392010341,1,1,0,0,1,0,0,0,0
0.379672948713323,0.4024241617162477,0.0472803788603019,0,0,0,1,0,0,0,0,0
0.3734269827333919,0.5420970685976388,0.0345468817894542,0,0,0,0,0,0,0,0,0
0.1423102056197658,0.075098549467978,0.0948311423182053,0,0,0,0,0,0,1,0,0
0.5051835905083767,0.2266057030028926,0.1113424304912852,0,0,0,0,0,0,0,0,1
0.3631018958390962,0.5700269440303103,0.0319540283897329,0,0,0,0,0,0,1,0,0
0.8469337438512514,0.3416828454337828,0.1237668660607905,1,0,0,0,1,0,0,0,0
0.2861919251446234,0.7548371593322366,0.0190584958829793,0,1,1,0,0,0,0,0,0
0.1248010551593362,0.1145389627099026,0.0548967535775803,0,0,0,1,0,0,0,0,0
0.5313400764108547,0.0571108309795271,0.4584638359146779,0,0,1,0,0,0,0,0,0
