Transaction Amount,Account Balance,Transaction_To_Balance_Ratio,Is_High_Value_Transaction,High_Balance_flag,Account_Transaction_Current - Debit,Account_Transaction_Fixed Deposit - Credit,Account_Transaction_Fixed Deposit - Debit,Account_Transaction_Recurring Deposit - Credit,Account_Transaction_Recurring Deposit - Debit,Account_Transaction_Savings - Credit,Account_Transaction_Savings - Debit
0.4493968513596401,0.5264147618442092,0.0427688769722124,0,0,0,0,0,1,0,0,0
0.0715319454299814,0.379330294161526,0.0096830732400365,0,0,0,0,0,0,0,0,0
0.2452142991729507,0.6340172638041847,0.0194612442004971,0,0,0,0,0,0,1,0,0
0.6542048019371314,0.8901328377741087,0.0367930316759875,0,1,0,0,0,1,0,0,0
0.8735312157985254,0.9733216051873516,0.0448958043027353,1,1,0,0,1,0,0,0,0
0.2801063177264363,0.0413782607433188,0.3325951885587166,0,0,1,0,0,0,0,0,0
0.9705521546177251,0.7123965568513032,0.0681091097361082,1,0,0,0,0,0,0,0,0
0.1001920293776885,0.958187290547962,0.0053320786308084,0,1,0,0,0,0,0,1,0
0.955907408966449,0.0626828684628686,0.7512772191013884,1,0,0,1,0,0,0,0,0
0.922256164784458,0.3130209454541085,0.1470435795940946,1,0,0,0,1,0,0,0,0
0.7966613347444886,0.7283077526916495,0.054713533701223,1,0,0,0,0,0,0,0,1
0.2849471418090851,0.4485026588581378,0.0319078901208606,0,0,0,0,0,0,0,0,1
0.4777602719681207,0.6210492852472673,0.0385400520663825,0,0,0,0,0,0,1,0,0
0.4320119787845622,0.1720551055983707,0.1253177342851043,0,0,0,0,0,1,0,0,0
0.9998296190281468,0.015917704060228,2.9550681287500367,1,0,0,0,0,0,0,0,1
0.5918593976130628,0.4830516942898881,0.0613007887924659,0,0,0,1,0,0,0,0,0
0.0549388432535148,0.3649275034368407,0.0077992423776045,0,0,0,0,0,0,1,0,0
0.2534226530522248,0.1713247832011831,0.0740876665119362,0,0,0,0,0,0,0,1,0
0.7384571902774604,0.7554948900461284,0.048904163218891,0,1,0,1,0,0,0,0,0
0.3688126651192066,0.5384759951819148,0.0343515248653155,0,0,0,0,0,0,0,0,0
