Transaction Amount,Account Balance,Transaction_To_Balance_Ratio,Branch_Size,Is_High_Value_Transaction,High_Balance_flag,Branch_Houston,Branch_Los Angeles,Branch_New York,Branch_Philadelphia,Branch_Phoenix,Branch_San Antonio,Branch_San Diego,Account_Transaction_Current - Debit,Account_Transaction_Fixed Deposit - Credit,Account_Transaction_Fixed Deposit - Debit,Account_Transaction_Recurring Deposit - Credit,Account_Transaction_Recurring Deposit - Debit,Account_Transaction_Savings - Credit,Account_Transaction_Savings - Debit,Currency_GBP,Currency_INR,Currency_JPY,Currency_USD
0.5364434876383594,0.3662055175686893,0.0732679975755388,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.7768971420095333,0.2851694690393968,0.13598276867013123,0.7238095238095248,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.4866421318067198,0.7659440873823639,0.03183753274822989,0.6952380952380963,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.550743462381886,0.6229438781180631,0.04426568096332337,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.65667432378799,0.8552133344413996,0.03843761829036028,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.026565400234925294,0.4380731864344667,0.003272253219099428,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.6088554006759114,0.08621058396755102,0.3499104689361644,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.6306842098933215,0.4177689421739657,0.07548748362861206,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0.037505863109913766,0.9926430081192547,0.001995962951535467,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.1949579259223624,0.6786959930392086,0.014488765465870093,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19000885981053636,0.05360089793409076,0.17577526804650967,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0.899048271936049,0.9844369438600953,0.04568282764138842,0.5333333333333332,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6530742740768358,0.9425119926467128,0.03469065587226698,0.8095238095238102,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.1106614389775538,0.04570622696465636,0.1206497469325482,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7707052970441909,0.5939717863661805,0.06488754973785867,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.9239720013951195,0.09271700157298668,0.49354413857045815,0.6952380952380963,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.8535846151995864,0.38491374606127543,0.11076377655524179,0.7238095238095248,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.8517244558833551,0.750543736739502,0.05675443073523607,0.4761904761904763,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0.8699411884974804,0.06495443745450505,0.6603225311991112,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.5116540584747495,0.8284477294823361,0.030944690756612315,0.8095238095238102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41959020369546307,0.10437893058933434,0.1998965477932096,0.7238095238095248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.9693414474765576,0.6948869422080087,0.06973588985310236,0.8666666666666671,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4051038121239091,0.18581828849837345,0.1088924853632722,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.5066428534202477,0.9608537582967288,0.026424784817007406,0.8095238095238102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.024488756860339717,0.6120426098161978,0.0021744814740110256,0.6952380952380963,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9375243043445143,0.2944821309313663,0.15884950010012566,0.7238095238095248,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.24292117174001063,0.8127503036334891,0.015046102536510016,0.8666666666666671,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.7992390986245245,0.057766659290684134,0.6809834686251333,0.6952380952380963,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8191035154605698,0.8253897672760696,0.04964258289229678,0.8095238095238102,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4561720005933267,0.6168321590168382,0.03705776635465554,0.8095238095238102,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.7090133538592293,0.17194326434286505,0.20539587252887206,0.8666666666666671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5033655253146035,0.21250158950754802,0.11827180130934234,0.5333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.3200396085647508,0.8288253063619352,0.019396670404612754,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0.32286392373346806,0.16253958749901126,0.09927451681387325,0.5333333333333332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.7355987989143725,0.5955023194294394,0.06178133441294622,0.8666666666666671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.020594048291980867,0.35155771739707253,0.0032292096783995573,0.6952380952380963,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.8322649444157135,0.16441585722767854,0.25195570218202706,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.5683007204108387,0.6524893941047543,0.04360640260634469,0.4761904761904763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0.37429291896680983,0.9939041008794107,0.01890220442910643,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4123700594529368,0.5568302766393955,0.037121533156754816,0.7238095238095248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.39792977096788423,0.7339395656714429,0.027194623119035085,0.7238095238095248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.1618899860087155,0.21827748446287662,0.03737596492021074,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.686581195553257,0.4807346678855394,0.0714169533430989,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
